揽收量,派件量,网点得分,揽收出港及时率,派件出门准点率,当日签收率,虚假签收率,遗失率,升级投诉率,总投诉率,一次性解决率,二次投诉率,签收好评率,代收好评率,及时揽收率
13918,43836,76.26,99.42,99.09,99.07,0.91,0,0,1.82,73.77,,97.93,84.92,90.07
979211,174195,36.88,83.83,90.7,97.79,3.88,1,0,21.03,79.8,10.55,91.59,87.85,80.25
349592,42588,36.61,89.88,89.04,95.62,4.23,9.4,0,29.12,63.44,10.24,90.37,88.6,89.48
71713,94077,6.53,74.64,62.9,86.49,18.6,261.5,95.67,74.19,55.31,40.52,84.52,86.23,84.56
7655,38700,50.89,93.54,96.19,98.22,6.72,5.2,25.84,11.63,65.82,6.38,93.06,93.1,94.93
18,24400,85,100,42.51,62.87,0,0,0,,100,,100,100,
1422,113498,36.47,45.87,93.63,98.95,3.26,4.4,8.81,7.31,62.62,16.87,90.4,90,88.04
12188,70584,90,99.19,92.74,98.7,0,0,0,,58.64,,100,100,
3474,49717,41.84,98.84,37.84,89.26,5.63,16.1,0,27.96,75.38,27.34,100,81.82,96.19
91268,177730,38.15,99.11,84.97,96.44,3.99,3.9,5.63,7.76,70.15,11.59,90.52,88.38,86.13
12117,126038,55.54,99.71,90.34,93.88,1.98,0.8,7.93,4.92,73.54,4.84,92.28,88.15,85.18
8919,51194,66.53,88.72,80.74,97.71,0.78,15.6,0,2.93,73.79,,92.9,92.34,93.87
21159,167368,43.38,99.41,73.34,91.86,2.69,2.4,0,14.04,72.23,28.51,91.17,88.31,86.71
85519,162468,62.84,99.75,94.43,96.71,2.95,3.1,0,6.46,76.67,10.48,89.19,92.08,92.18
464393,410498,14.23,90.7,51.28,82.8,7.58,13.6,17.05,38.22,65.12,29.83,88.69,88.88,86.66
77,44299,10,97.78,27.45,44.23,61.18,343.1,135.44,291.65,69.95,34.75,61.11,80.39,3.33
2199,98850,8.46,87.67,57.85,79.87,10.22,54.6,70.81,125.75,75.43,34.84,91.07,76.77,70.22
9571,57778,61.25,99.92,91.41,93.91,2.94,1.7,0,6.58,71.1,2.63,92.42,92.31,87.92
41240,122838,40.31,91.76,91.68,96.72,5.37,3.3,0,12.05,63.78,8.78,90.01,89.78,75.87
3987,39962,50.58,98.71,54.34,73.72,1.5,7.5,0,11.51,68.31,2.17,94.49,83.33,95.58
39365,55123,44.12,90.7,79.06,95.63,3.63,23.6,0,9.07,75.38,8,91.87,89.03,94.11
139047,194302,43.01,99.54,91.37,95.74,3.35,8.7,10.29,7.72,70.42,9.33,91.22,90.51,89.52
218793,275325,37.93,99.34,95.29,98.23,5.01,3.3,7.26,11.04,69.83,21.38,91.82,89.77,84.04
43457,48558,41.04,99.07,89.72,92.57,6.59,4.1,0,17.09,74.94,8.43,92.14,90,70.48
2313,38622,40.13,99.89,25.78,86.76,7.51,7.8,0,21.75,71.16,21.43,82.14,90,97.62
41641,49261,60.58,99.45,91.09,99.23,7.92,2,0,12.79,71.18,12.7,93.66,93.6,94.58
158935,358403,59.57,98.42,81.48,94.72,3.46,1.1,0,5.78,83.66,7.25,86.53,86.49,91.91
832621,252839,40.54,96.82,62.4,88.31,2.5,2.3,0,10.02,76.68,13.95,91.38,87.58,85.81
37239,64210,84.04,98.33,97.04,98.47,1.09,0,0,1.56,77.48,,90.65,89.14,96.95
49400,68713,16.99,99.96,63.03,85.34,6.84,33.5,14.55,43.51,73.38,21.07,88.78,86.67,82.4
